0,1
As at31/03/2018(Audited),As at31/03/2017(Audited)
"49,074.29,563.124,484.930.060.816.418.9211.455.7829.241.97,165.61.464.31.588.4","46,362.97,149.823,100.140,866.314,180.8164.355.7765.212.45.076.41.048.47.761.2"
"140,956.4","146,543.5"
"36,624.92,348.651.922.113.941.1139.2199.04,364.96.012,461.686.0","36,422.821.141.343.073.46.818.3163.4158.63.765.4308.87,677.3"
"122,095.4","119,529.3"
,
263.053.8,266.072.8
"904.2134,866.4400.8","903.2134,072.5345.2"
"136,171.4","135,320.9"
"64,245.037.13,476.73,568.52.855.31.744.3","56,477.859.04,764.83,087.33.948.51.208.6"
"75,926.9","69,546.0"
"4.517.625,754.012,827.22,344.44.651.6860.7","23,043.325,889.05,663.9915.84,713.8980.1"
"50,955.5","61,205.9"
"263,053.8","266,072.8"
