0,1
4. Interest service coverage ratio,:86
5. Capital redemption reserve /Debenture redemption reserve,: Rs. 5.00 crore
6. Net worth,: Rs. 1376.57 Crore
7. Net Profit after tax,: Rs. 252.32 Crore
8. Earnings per share,:Basic Rs. 15.88
,Diluted Rs. 15.83
