0,1,2,3,4,5,6
Series Id,Issue Size(Rs in Crs),Allotment Date,Maturity Date,Due Date,ISIN No,Due Cateqorv
BZ2015,5,8-Jul-15,4-Oct-17,4-Oct-17,INE774D07MU6,Principal + Interest
BY2016,10,4-Oct-16,4-Oct-19,4-Oct-17,INE774D07PW5,Interest
BA2016,221.9,29-Jun-16,6-Oct-17,6-Oct-17,INE774D07OY4,Principal + Interest
AW2013,75,8-Oct-13,8-Oct-18,9-Oct-17,INE774D07JP2,Interest
CS2015,250,9-Oct-15,9-Oct-25,9-Oct-17,INE774D07NN9,Interest
AN2014,38,24-Sep-14,13-Oct-17,13-Oct-17,INE774D07KF1,Principal + Interest
CC2016,250,13-Oct-16,13-Dec-18,13-Oct-17,INE774D07QA9,Interest
CT2015,100,13-Oct-15,11-Oct-19,13-Oct-17,INE774D07NO7,Interest
CD2016,300,14-Oct-16,21-Dec-18,16-Oct-17,INE774D07QB7,Interest
PPP,9.8,17-Oct-08,17-Oct-18,17-Oct-17,INE774D08JC8,Interest
CV2015,25,20-Oct-15,18-Oct-17,18-Oct-17,INE774D07NQ2,Principal + Interest
CW2015,150,21-Oct-15,18-Oct-17,18-Oct-17,INE774D07NR0,Principal + Interest
XXX,5,19-Oct-12,19-Oct-22,23-Oct-17,INE774D08LA8,Interest
YYY,45,19-Oct-12,21-Oct-19,23-Oct-17,INE774D08LB6,Interest
CX2015,200,23-Oct-15,23-Oct-17,23-Oct-17,INE774D07NS8,Principal + Interest
EEE2015,100,27-Oct-15,27-Oct-25,27-Oct-17,INE774D08LO9,Interest
CY2015,250,30-Oct-15,30-0ct-20,30-Oct-17,INE774D07NT6,Interest
CZ2015,25,5-Nov-15,3-NOV-17,3-NOV-17,INE774D07NU4,Principal + Interest
DA2015,3.5,5-Nov-l 5,21-Nov-17,6-Nov-17,INE774D07NV2,Interest
AU2014,50,7-NOV-14,7-NOV-17,7-Nov-17,INE774D07KM7,Principal + Interest
AV2014,250,10-Nov-14,8-Nov-19,10-Nov-17,INE774D07KN5,Interest
QQQ,25,10-Nov-09,11-Nov-19,10-Nov-17,INE774D08JR6,Interest
AX2014,40,20-Nov-14,16-Nov-17,16-Nov-17,INE774D07KP0,Principal + Interest
CCC2014,100,17-Nov-14,15-NOV-24,17-Nov-17,INE774D08LJ9,Interest
RRR,75,20-Nov-09,20-NOV-19,20-Nov-17,INE774D08JS4,Interest
DA2015,3.5,5-Nov-15,21-Nov-17,21-Nov-17,INE774D07NV2,Principal + Interest
CE2016,200,21-Nov-16,21-Nov-18,21-Nov-17,INE774D07QC5,Interest
CF2016,75,25-Nov-16,25-Mar-20,27-Nov-17,INE774D07QD3,Interest
SSS,200,26-Nov-10,25-Jan-21,27-Nov-17,INE774D08KV6,Interest
CG2016,100,28-Nov-16,28-NOV-19,28-Nov-17,INE774D07QE1,Interest
CH2016,20,29-Nov-16,29-Nov-21,29-Nov-17,INE774D07QF8,Interest
CI2016,75,30-NOV-16,30-Nov-21,30-Nov-17,INE774D07QG6,Interest
CJ2016,500,1-Dec-16,3-Jun-19,4-Dec-17,INE774D07QH4,Interest
1A,1.95,06-Jun-16,06-Dec-21,06-Dec-17,INE774D08LP6,Quarterly Interest
IB,7.09,06-Jun-16,06-Dec-21,06-Dec-17,INE774D08LQ4,Quarterly Interest
2A,5.24,06-Jun-16,06-Jun-23,06-Dec-17,INE774D08LR2,Quarterly Interest
2B,1.30,06-Jun-16,06-Jun-23,06-Dec-17,INE774D08LS0,Quarterly Interest
3A,0.90,06-Jun-16,06-Jun-26,06-Dec-17,INE774D08LT8,Quarterly Interest
3B,24.73,06-Jun-16,06-Jun-26,06-Dec-17,INE774D08LU6,Quarterly Interest
