0,1,2,3,4,5
STEEL & POWER,,,,,
,STANDALONE FINANCIAL RESULTS,,,,
,Year on Year (Quarter),,,,
,Parameter(in Crores of INR),| Quarter 4,Change(%),,
2017-18,2016-17,,,,
Turnover,"5,752","4,545",+27%,,
EBITDA,"1,519",914,+66%,,
EBITDA %,26%,20%,,,
Depreciation + Amortization,468,489,-4%,,
Interest,686,515,+33%,,
PBT (Before Exceptional),364,(81),,,
Exceptional,194,-,,,
PBT,170,(81),,,
PAT,145,(116),,,
,Quarter on Quarter,,,,
,Parameter(in Crores of INR),2017-18,Change(%),,
Q4,Q3,,,,
Turnover,"5,752","4,272",+35%,,
EBITDA,"1,519",921,+65%,,
EBITDA %,26%,22%,,,
Depreciation + Amortization,468,465,+i%,,
Interest,686,594,+16%,,
PBT (Before Exceptional),364,(138),,,
Exceptional,194,-,,,
PBT,170,(138),,,
PAT,145,(74),,,
,Year on Year (Full Year),,,,
,Parameter,FY18,FY17,Change(%),
Turnover,"17,523","15,494",+13%,,
EBITDA,"3,973","2,902",+37%,,
EBITDA %,23%,19%,,,
Depreciation + Amortization,"1,910","2,044",-7%,,
Interest,"2,391","2,324",+3%,,
PBT (Before Exceptional),(328),"(1,457)",,,
Exceptional,344,-,,,
PBT,(672),"(1,457)",,,
PAT,(362),(986),,,
,J5PL-financial ResuftT4Q &EY186,,,,
