0,1,2,3,4,5,6
Parameters,Unit,"Mar 31,","Dec 31,","Sep 30,","Jun 30,","Mar 31,"
2018,2017,2017,2017,2017,,
Total Employees,Nos,"17,263","17,482","17,657","18,369","18,683"
Number of Customers per employee,Nos,"18,670","17,616","16,960","16,214","15,540"
Ffersonnel Cost per employee per month,Rs,"116,094","112,201","115,911","112,247","108,121"
Gross Revenue per employee per month,Rs,"2,856,890","2,916,176","3,157,990","3,129,115","3,039,413"
