0,1
Entity,Relationship
Britannia Employees General Welfare Association Private Limited,Subsidiary
Britannia Employees Educational Welfare Association Private Limited,Subsidiary
Britannia Employees Medical Welfare Association Private Limited,Subsidiary
Baymanco Investments,Subsidiary
BritChip Foods Limited,Subsidiary
Bombay Dyeing and Manufacturing Company Limited,Associate
Roshnara Investment & Trading Company Private Limited,Associate
Lima Investment & Trading Company Private Limited,Associate
Cincinnati Investment & Trading Company Limited,Associate
Shadakh Investment & Trading Private Limited,Associate
MSIL Investments Private Limited,Associate
Klassik Foods Private Limited,Associate
Nalanda Biscuits Company Limited,Associate
Lotus Viniyog Private Limited,Associate
Medical Microtechnology Limited,Associate
Harvard Plantations Limited,Associate
Placid Plantations Limited,Associate
Sunandaram Foods Private Limited,Associate
