0,1,2
Sr.No.*1,ParbctdartDebt Fquilt Ratio IRcfer Vale k|,"At al March Jl.201$___10,>7,"
b),Dtbt Service Overate Refo IRcfer Near h|Interevt Server Cot crate Ratio [Refer Note h|,2.1*ill
.41,,2277
Srt Worth :Refer Note h| |Rv in Lakh),I997JC,
,Net Profit after Tat (for the trar raadnl March 11 201$) (Rvmlei*),.assi
-EL,Italic Farmrtt per Share tier the tear ended Match Jl. 201$) lRv|,1791
