0,1
Name Of the Entity,Relationship
ICL International Limited,Wholly Owned Subsidiary
ICL Securities Limited,Wholly Owned Subsidiary
ICL Financial Services Limited,Wholly Owned Subsidiary
India Cements Infrastructures Limited,Wholly Owned Subsidiary
"PT Coromandel Minerals Resources, Indonesia",Wholly Owned Subsidiary
"Coromandel Minerals Pte. Ltd, Singapore",Wholly Owned Subsidiary
"Raasi Minerals Pte. Ltd, Singapore",Wholly Owned Subsidiary
"PT Adcoal Energindo, Indonesia",Wholly Owned Subsidiary
"PT Mitra Setia Tanah Bumbu, Indonesia",Subsidiary
Industrial Chemicals and Monomers Limited,Subsidiary
Coromandel Electric Company Limited,Subsidiary
Coromandel Travels Limited,Subsidiary
Raasi Cement Limited,Associate
Coromandel Sugars Limited,Associate
India Cements Capital Limited,Associate
Unique Receivable Management Pvt. Limited,Associate
Trinetra Cement Limited,Transferor company existingas per order of Hon'ble HighCourt of Madras
