0,1,2
S.No.,Particulars,"March 31, 2018"
(0,"Debt service coverage ratio ('DSCR') - [no, of times]",1.57
(ii),Interest service coverage ratio ('ISCR') - [no. of times],3.81
(iii),Debt - equity ratio - [no. of times],0.63
(iv),Debenture redemption reserve - [Rs. Million],"7,500"
(v),Net worth - [Rs. Million],"972,709"
