0,1,2,3,4
3 MonthsEnded31/03/2018(Audited)(Refer note 12),3 MonthsEnded31/12/2017(Unaudited),3 MonthsEnded31/03/2017(Audited)(Refer note12),i AccountingYear Ended31/03/2018(Audited),AccountingYear Ended31/03/2017(Audited)
"39.784,9","39,003.6","41,618.8","155,598.4","171,198.0"
"553,4",752.6,914.2,2.443.1,3.745.3
"40,338.3","39,766.2","42,633.0","169,041.6","174,943.3"
"1,449.2",284.2,453.4,"1,503.5","1,065.1"
"41,787.5","40,040.4","42,986.4","169,646.0","176,008.4"
"8,753.9","7,407.0","7,313.1","29,554.3","29,486,6"
"5,596.1","6,373.5",6.233.0,"21,561.9","23,906.5"
(724.3),146.4,"(1,695.3)","1,627.8","(3,378.8)"
"7,287,1","6,930.7","7,077.8","28,647.1","28.495,2"
585.3,540.0,406.2,"2,043.5","1,525,3"
"2,728.3","2,803.5",2.674.2,"10,858.7","9,122,3"
12.338.0,12.015.2,15.790.7,"45,175.3",51.502.4
"36,664.4","36,216.3","37,799.7","139,468.6","140,659.5"
"5,223.1","3,824.1",5.186.7,"20,076.4","35,348.9"
12.6,5.9,16.4,35.2,82.5
"5,235.7","3,830.0",5.203.1,"20,111.6","35,431.4"
"14,643.5",-,-,14.643.5,-
"(9,407.8)","3,830.0","5,203.1","5,468.1",35.431.4
"1,401.7","1,346 3","1,243.3","5,349.8","10,682.1"
(3.033 5),261.4,123.5,(2.465.2),(1.097.0)
(1.631.8),"1,607.7","1,366.8","2,884.6",9.785.1
"(7,776.0)","2,222.3","3,836.3","2,583.6","26,646.3"
"59,4",5.0,34.2,70.9,71.7
(7.B35.4),"2,217.3","3,802.1",2.512.6,"25,574.6"
32.3,(27.1),(172.6),25.2,(417.2)
6.6,4.5,45.5,4.2,"130,2"
"1,592,8",(220.2),584.6,"1,208.4",50B.3
67.3,(20.6),(54.3),142.1,(83.0)
"1,699.0",(263.4),403.2,"1,379.9",138.3
17.0,(0.2),(17.5),15.9,(20.0)
"1,682.0",(263.2),420.7,"1,364.0",168.3
"(6,153.4)","1,954.1","4,222.8","3,876.6",25.732.9
76.4,4.8,16.7,86.6,51.7
"(6,077.0)","1,968.9","4,239.6","3,963.4","26,764.6"
904.2,904.1,903.2,904.2,903.2
,,,"134,866.4","134,072.5"
7.93,4.91,8.42,30.83,56.69
7.90,4.89,8.39,30.73,56.46
(17.33),"4,91",6.42,5.56,56.69
(17.27),4.89,6.39,5.54,56.46
