0,1,2,3,4,5,6,7,8
,Partied Sari,Quarter Erwted,Yeart,tided,Yscsr-ended,,,
,,"31,03.2018","31,12.2017",31.D5..JQ17,"31,05,2013","31.ds.zcU,?","31.03,2018","31,03.2017"
51. -Mo.,,(Audited} *,{ S/raoditfld}.,{Audited}1,[Audited],{Auditud},{Audited},(Audited]
1,Segment Revenue,,,,,,,
,•'jjTwtile rvAinhincry Division*x,"55564,89","38357,89",58329.45,"7005i?,97",£03583.26,208/94.20,7099 87-28
,Machine Tccit & Fouridiy OI vision,15 299.07,14321.31,"11090,64",54227.82,"38272,43","54227,52",38272.43
,a) Ariv^rir-wr? l-rrchriciic'gy Cent-c,5/3.46,256 L63,1009.82,4701.77,2695.10,-1.281.77,"3n9F.,lCi"
,total,"71*87,42",55240.33,"70433,91","7,59002.56",244555.79,"267283,79",250954.S1
,Less: revesnue,1989-87,730.82,1162.41,6276.72,"4877,80",6276.72,4S72..8C
,Salan/lticome from Operations,6M&7.55,54490.E31,"69276,50",352725-M,2596:32.99,"261307,07","246082,01"
2,Segment tJesuEts,,,,,,,
,{Profit Lfiifojxr Ir-iurcst &taxj,,,,,,,
,a)l'axti;a Machinery OMr-ion,"4374,15",3461.28,4617.65,26689.73,"15677,0-9",15994.14,1527.2.96
,b) Much in* Tua| S. Rjondry Division,"2526,30","2410,15",1757.44,7707.61,"5029, £0",7707.61,5079 ?fl
,c} Advanced Technology Centra,P.93),6B7..7-5,375.87,"39,39",5.27,"80,39",S.27
,TotaJ,8399.52,". 6553,66",0700.$$,24436.73,"207*1,56",24741.14,20257.43
,Add j oth^f ^O-a'ilciciible income net of,,,,,,,
,U na II steals an psnri u ora,J./4H.92,1751.74,"1942,67",5475.40,6010.72,5492.70,598;. 23
,Totol Profit Before lex,"8X45,44",8285.40,36145.(33,29S12.13,26G3L2S,"30?33,S4",26244-66
i,Segment Assets,,,,,,,
,MjTuxtRc Machinery Division.,186649.66,180956.33,].791h8.55,"186849,66",17916S.59,201312.37,"191150,73"
,b) Machine tool & foundry Divis-ior-,49355.95,"44305,87",35983.53,49356.93,55953.53,49356.98,39933.53
,v.| A-Hvoncpd Technology Centre,"16,? 2,35",1803.44,2101.04,1622.35,"2101,04",1622.35,3291.04
,d) Unallocated,17725.43,L719C.3S,5.591.9.70,17726.43,15919.29,"11/1.2,77","9405,52"
,F'ettsi,255355.42,244562.34,231212.45,255355.42,233212.45,263534.97,236580.32
,Segment Liabilities,,,,,,,
,a}Ti;xtii<? Machinery Division,67981.54,67757.60,08272.116,"G7£31,54",63272.45,72898.13,"71743,51"
,b) Mschinc Tool & Foundry Division,14687.96,It)/10.30,7840.76,"14687,96",784!). 26,14687.96,7840.26
,c| Advanced Tei^inology Centre,"481., 38",384.6b,1188.22,431.35,"1138,22",481 .sS,113B.72
,Uixi Instated,"39, 98",123.63,58.85,,66.3s,68. S3,"58,80"
,Total,B310G.SS,7843SJ1,"77569,77",33X90.36,77369.77,"SC836,3Q","80840,79"
L,Cdpital Erofjfoyfcd[Bagmcnt Assets-Segment I iftbltlfifts)a.ITcSLUc Machinery Division,113718.12,113138.73,110836.13,3.18718.12,110896.13,127714.74,"5.19407,22"
,b) MachinsToo! fiinourrrJry Divider:,3<*£6!?.02,M^.ni,"76093,27",74669.02,26093.7.7,34653.02,26093.27
,c) Af/Vanced Todinoiogy Centre,1140.97,1213.78,1002.82,1150.37,"1002,82",1140.97,1G07..57
,d) Unallocated,17636.45,I'AJ'yZ.TO,15550.46,"1.7636,45",15.S50.48,11143.94,"9586,8-2"
,Total,"1721i54,56",166075.33,15534-2.613,1?ZZ£4.5£,153342.66,174643.47,1SSS4G.13
