0,1
Disposals/adjustments,(31.65)
Balance as at 31 March 2017,66.14
Net Investment Property - Reclassified,52.27
Balance as at 31 March 2018,118.41
Accumulated DepreciationAt 1 April 2016Depreciation charge for the yearDisposals/adjustments for the year,2.541.72
Balance as at 31 March 2017,4.26
Depreciation charge for the yearInvestment Property - reclassified,1.45(0.84)
Balance as at 31 March 2018,4.87
,
Net book value as at 31 March 2017,61.88
Net book value as at 31 March 2018,113.54
