0,1,2,3,4,5,6
,Quarter Ended,Year Ended,,,,
Particulars,Mar-18,Mar-17,Y-on-YGrowth,Mar-18,Mar-17,Y-on-YGrowth
Total revenues,"28,195","25,770",9%,"113,218","109,429",3%
ffirTDA,"11,418","9,424",21%,"42,296","33,884",25%
EBFTDA/Totalrevenues,40.5%,36.6%,,37.4%,3X0%,
mrr,"8,401","6,545",28%,"31,044","22,737",37%
Capex,"4,211","2,218",90%,"8,719","6,900",26%
Operating Free Cash Flow (EBITDA - Capex),"7,207","7,206",0%,"33,576","26,984",24%
Cumulative Investments,"96,311","91,982",5%,"96,311","91,982",5%
