0,1,2
SI. No Ref.,Ratio,Formulae
27,Net worth,Equity share capital + Other equity
28,Debt equity ratio,Gross total borrowings (before deducting un-amortised loan raising expense) / (Equity share capital + Other equity)
29,Debt service coverage ratio,(Profit from ordinary activities before tax + Interest charge on borrowings + Depreciation and amortisation expense - Tax expense) / (Interest expense on borrowings + Principal repayments for borrowings)
30,Interest service coverage ratio,(Profit from ordinary activities before tax+ Interest expense on borrowings + Depreciation and amortisation expense) / Interest expense on borrowings
