0,1,2,3,4,5
Particulars,3 months ended31/03/2018,3 months ended31/12/2017,3 months ended31/03/2017,Year ended31/03/2018,Year ended31/03/2017
"Revenue from operations (Net of GST and Excise Duly, as applicable)",6377.4,"3,774.0","5,5783","21,853.9","19,173.0"
