0,1,2
Audited,,
As at,As at,
31.03.2018,31.03.2017,
497796,461848,
19531,22225,
56552,55556,
61915,64135,
167,42,
64042,60781,
54047,54510,
1513,1509,
6994,7163,
6014,3521,
13089,8257,
33841,31247,
815501,770794,
8572,8044,
33053,9080,
32856,27206,
20784,14131,
6248,10575,
914,4902,
11498,10864,
8028,7831,
121953,92633,
937454,863427,
11893,9893,
406217,241876,
418110,251769,
77739,73782,
495849,325551,
232921,278986,
25355,35683,
8355,7556,
35630,31725,
302261,353950,
500,1816,
35130,29306,
60527,106546,
13840,11110,
2456,2435,
26891,32713,
139344,183926,
937454,863427,
