0,1,2,3,4
Geo-wise Revenue (Rs crs),FY17,FY18,Mix %,YoY %
International,"1,146","1,366",41%,19%
"Europe, North America and Japan",802,884,27%,10%
ROW,343,482,14%,41%
India,"1,430","1,962",59%,37%
Income from Operations,"2,576","3,328",100%,29%
