0,1
S. NO.,NAME OF COMPANIES
Subsidiaries,
1,SHADEED IRON & STEEL LLC
2,WOLLONGONG COAL LTD.
3,JINDAL STEEL & POWER(MAURITIUS) LIMITED
4,JINDAL POWER LIMITED
5,JINDAL MINING SA(PTY) LIMITED
6,JINDAL AFRICA INVESTMENTS (PTY) LTD.
7,JSPL MOZAMBIQUE MINERALS LDA
8,JB FABLNFRA PVT LTD
9,TRISHAKTI REAL ESTATE INFRASTRUCTURE AND DEVELOPERS PVT. LTD.
10,JINDAL POWER VENTURES(MAURITIUS) LTD
11,JINDAL POWER SENEGAL SAU
12,BLUE CASTLE VENTURES
13,JIN AFRICA LTD
14,JINDAL INVESTIMENTOS LDA
15,JINDAL AFRICA SA
16,JINDAL STEEL & POWER (BC) LTD.
17,JINDAL KZN PROCESSING (PTY) LTD.
18,JINDAL STEEL & MINERALS ZIMBABWE LTD
19,JINDAL STEEL & POWER (AUSTRALIA) PTY LTD
20,JINDAL ZAMBIA LTD.
21,SUNGU SUNGU PTY LTD
22,BON TERA MINING (PTY) LTD
23,JINDAL ENERGY (SA) PTY LTD
24,PEERBOOM COAL (PTY) LTD
25,KOLEKO RESOURCES(PTY) LTD.
26,EASTERN SOLID FUELS(PTY) LTD.
27,LEGEND IRON LTD
28,BELDE EMPREENDIMENTOS MINEIROS LDA
29,SOUTHBULLI HOLDING PTY LTD.
30,OCEANIC COAL REOURCES NL
31,WONGAWILLI COAL PTY LTD.
32,SAD-ELEC(PTY) LTD.
33,BRAKE TRADING (PTY) LIMITED
34,FIREFLASH INVESTMENTS(PTY) LIMITED
35,LANDMARK MINERAL RESOURCES (PTY) LIMITED
36,CAMEROON MINING ACTION S.A.
37,JINDAL STEEL DMCC
38,SHADEED IRON & STELL CO. LIMITED-DUBAI
39,JINDAL INVESTMENT HOLDINGS LIMITED
40,SKYHIGH OVERSEAS LIMITED
41,TRANS ASIA MINING PTE. LTD.
42,JINDAL MINING & EXPLORATION LIMITED
43,JINDAL ANGUL POWER LIMITED
44,EVERBEST STEEL AND MINING HOLDINGS LIMITED
45,HARMOMY OVERSEAS LIMITED
46,JUBILANT OVERSEAS LIMITED
47,JINDAL BOTSWANA (PTY) LIMITED
48,VISION OVERSEAS LIMITED
49,PT JINDAL OVERSEAS LTD.
50,PT SUMBER SURYA GEMILANG
51,PT MARUWAI BARA ABADI
52,PT BHI MINING INDONESIA /
53,JINDAL STEEL BOLIVIA SA * Q?v
54,GAS TO LIQUIDS INTERNATIONAL SA â€”'
55,ATTUNLI HYDRO ELECTRIC POWER COMPANY LIMITED
56,ETALIN HYDRO ELECTRIC POWER COMPANY LTD.
