0,1
BroadcastDate/Time,24-May-2018 19:05
Subject,Outcome of Board Meeting
Announcement,"GlaxoSmithKline Pharmaceuticals Limited has informed the Exchange regarding Board meeting held on May 24, 2018 forFinancial results for year ended 31st March 2018"
Attachment,Click here
