0,1,2,3,4,5,6,7
S-No,Series,Outstanding(Rs. in crore),PreviousInterestpayment date,PreviousInterestPaid(Y/N/NA),Next due date forPrincipal/ Interestpayment,Rating,
1,9.23% Unsecured Redeemable Non-convertible debentures 2015-16series,100,4-Sep-2017,Yes,4-Sep-2018,A A-' Stable,
