0,1
53? .61,45B.05
18.21,26.73
4.76,7.42
1.81,2.12
0.86,1.02
0.28,0.27
0.86,1.90
6.08,3.71
10.21,27.72
ID.11,â€˜1.34
596.79,543.28
1.141.38,935.36
0.90,'18.57
1.677.08,1 23^.09
2C5.02,83.49
30.33,13.17
15.04,14.70
6.07,37.26
264.12,1G2.46
56.54,88.03
3.395.53,"2,687.13"
,
3.992.33,"3,230.41"
36.27,38.27
950.36,352.37
30.93,57.41
"1,019.56",943.05
105.80,34.77
2.52,2.52
4.64,4.33
32.96,44.34
145.92,35.96
169.75,186.47
2.425.57,1.704.05
49.63,47.61
'5.22,24.80
91.25,140.65
1.03,0.32
74.25,91.0U
"2,826.85","2,196.40"
,
"2,972.77",2.282.36
