0,1
India Business,Sales? crore
Household Insecticides,585
Soaps,412
Hair Colours,161
Other Brands,148
Unbranded and Exports,92
Total,"1,399"
"Sales and trade promotion spends, etc. to benetted off from Sales as per Ind AS",(69)
Sales,"1,329"
Branded Volume Growth,-
