0,1,2,3,4
â–,Balmer Lawrie (UAE) LLC j,Avi Oil India Pvt. Ltd. j,,
Summarised Balance Sheet,3! Dec 2017,31 Dec 2016,31 March 2018,31 March 2017 1
(iuman-assets,"44,294,97","43,761.63","4,585.91","4,190.33"
Curreni: liabilities,"6,912,00","10,487.24",321.11,637.34
Net current assets,"37,382.97","33,274.39","4,264.80","3,552.99"
Li . . .......,,,,
iNon-currenr assets,"7,841.10","7,562.19","2,074.96","2,072.28"
Non-current liabilities,"2,4-16.05","2,149.11",471.08,517.31
Net non-current assets,"5,395.04","5,413.OS","1,603.88","1,554.97"
Net assets,"42,778.02","3B,6S7.47","5,868.68","I 5,107.96]"
