0,1,2,3,4
Particulars,FY 18,FY 17,,
($),(Rs.),($),(Rs.),
Profit before income tax,220,"14,341",225,"14,653"
Interest (income) / expense net*,(31),"(2,022)",(14),(880)
Depreciation #,127,"8,285",122,"7,931"
Amortization #,53,"3,477",58,"3,791"
EBITDA,370,"24,081",392,"25,495"
EBITDA (% to revenues),,17.0,,18.1
