0,1
Name of the Entity,Relationship
National Limestone Company Private LimitedSinghania Minerals Private LimitedBulk Cement Corporation (India) Limited,
Counto Microfine Products Private LimitedAakaash Manufacturing Company Private Limited,Joint Ventures
Wardha Vaalley Coal Field Private LimitedMP AMRL (Bicharpur) Coal Company LimitedMP AMRL (Semaria) Coal Company LimitedMP AMRL (Marki Barka) Coal Company LimitedMP AMRL (Morga) Coal Company Limited,Joint Operations
Alcon Cement Company Private LimitedAsian Concretes and Cements Private Limited,Associates
