0,1,2,3,4
Consolidated*Cr (Ind AS),Q4FYâ€™18,Vs PY,FY 18,Vs PY
Net Revenue,"91,279",18%,"294,243",9%
PBT,"2,308",(55%),"11,155",20%
U EBIT (%),6.6,(90 bps),4.2,(80 bps)
