0,1,2,3,4,5,6,7,8
Sr.No.,NCI) Series,ISIN No.,"Previous due date(October 1,2017 to March31,2018)","Interest(April 1,2018 toSeptember 30, 2018)","Principal(April 1, 2018 toSeptember 30, 2018)",,,
Interest,Principal,Next duedate,Amount(Rs. incrorc),Next duedate,Amount(Rs. incrorc),,,
112,Q-009,INEOO IA07PT5,18-Oct-!7,-,-,-,-,-
113,Q-010,INEOO 1A07PU3,11-Nov-17,-,-,-,-,-
114,Q-011,INEOO1A07PV1,I8-Nov-l7,-,-,-,-,-
115,Q-012,INEOO1A07PW9,22-Nov-17,-,-,-,-,-
116,Q-014,INEOO 1A07PY5,12-Jan-1807- Mar-1808- Mar-18,07- Mar-1808- Mar-18,-,-,-,-
117,Q-016,INEOO IA07QA3,25-Jan-18,-,-,-,-,-
118,Q-017,INEOO 1A07QBI,30-Mar-18,-,-,-,-,-
119,R-001,INEOO IA07QC9,-,-,14-Jun-18,149.00,14-Jun-18,2000.00
120,R-002,INEOO IA07QD7,17-Mar-18,-,-,-,-,-
121,R-003,INEOO 1A07QE5,20-Mar-18,-,-,-,-,-
122,R-004,INEOO IA07QF2,24-Mar-18,-,-,-,-,-
123,R-007,INEOO 1A07QI6,-,-,18-Apr-18,34.50,-,-
124,R-009,INEOO 1A07QK2,-,-,19-May-18,38.35,-,-
125,R-010,INEOO 1A07QL0,-,-,22-.lun-18,18.75,-,-
126,R-011,INEOO 1A07QM8,-,-,29-Jun-18,11.25,-,-
127,R-012,INEOO IA07QN6,-,-,05-Jun-I8,76.53,-,-
128,R-013,INEOO 1A07QO4,-,-,26-Jun-18,72.00,26-Jun-18,1000.00
129,R-014,INE001A07QPI,-,-,26-Jun-18,152.00,-,-
130,R-015,INEOO 1A7QQ9,-,,13-Jun-18,112.50,-,-
131,R-016,INEOOIA07QR7,-,-,16-Sep-18,30.00,-,-
132,R-017,INEOO IA07QS5,-,-,25-Jun-18,13.99,25-Jun-18,195.00
133,R-018,INEOO 1A07QT3,-,-,20-Jun-18,53.50,-,-
134,R-019,INEOO 1A07QU1,25-Mar-18,-,-,-,-,-
135,R-020,INEOO 1A07QV9,-,-,23- Jun-1824- Sep-I8,50.4712.86,24-Sep-18,700.00
136,R-021,INEOO 1A07QW7,11-Dec-17,-,-,-,-,-
137,R-022,INEOO 1A07QX5,-,-,24-Jul-18,250.95,-,-
138,R-023,INEOO 1A07QY3,-,-,01-Aug-18,144.00,-,-
139,S-001,INEOO 1A07QZ0,28-Dec-17,-,-,-,-,-
140,S-002,INEOO 1A07RA1,-,-,06-Sep-18,140.00,-,-
141,S-004,INEOO 1A07RC7,17-Nov-17,-,-,-,-,-
142,S-005,INEOO 1A07RD5,20-Feb-18,-,-,-,-,-
143,T-002,INEOO 1A07RF0,-,-,21-Jun-18,49.47,-,-
