0,1,2,3,4,5,6,7
,Standalone Quarter Ended,Standalone Year Ended,Consolidated Year Ended,,,,
31/03/2018,31/12/2017,31/03/2017,31/03/2018,31/03/2017,31/03/2018,31/03/2017,
Revenue from Operations (Net of Excise Duty),"69,732","61,761","52,940","2,45,207","2,06,742","2,45,207","2,06,742"
