0,1
Sr. No.,Name of the Entities:
,Subsidiaries:-
1,Larsen & Toubro Electromech LLC@@
2,Bhilai Power Supply Company Limited
3,Esencia Technologies India Private Limited
4,L&T Shipbuilding Limited
5,L&T Electricals and Automation Limited
6,Hi-Tech Rock Products & Aggregates Limited
7,L&T Seawoods Limited
8,Kesun Iron & Steel Company Private Limited
9,Ewac Alloys LimitedA
10,L&T Geostructure LLP
11,L&T Valves Limited
12,L&T Realty Limited
13,L&T Asian Realty Project LLP
14,L&T Parel Project LLP
15,Chennai Vision Developers Private Limited
16,L&T Vision Ventures Limited
17,L&T Power Limited
18,L&T Cassidian Limited
19,L&T Aviation Services Private Limited
20,Larsen & Toubro Infotech Limited
21,L&T Finance Holdings Limited
22,L&T Housing Finance Limited
23,L&T Finance Limited
24,L&T Capital Markets Limited
25,L&T Investment Management Limited
26,L&T Mutual Fund Trustee Limited
27,L&T Infrastructure Finance Company Limited
28,L&T Infra Debt Fund Limited
29,L&T Infra Investment Partners Advisory Private Limited
30,L&T Infra Investment Partners Trustee Private Limited
31,L&T Financial Consultants Limited
32,Mudit Cement Private Limited
33,L&T Capital Company Limited
34,L&T Trustee Company Private Limited
35,L&T Power Development Limited
