0,1,2,3,4,5,6
Sr.No,Particulars,STANDALONE,,,,
Quarter Ended,Year Ended,,,,,
31-03-2018(Audited),31-12-2017(Unaudited),31-03-2017(Audited),31-03-2018(Audited)*,31-03-2017(Audited),,
1,Segment Revenue;,,,,,
,(Net Sales / Revenue from Operations),,,,,
,1 Mining,"55,99730","45,442.09",48.649.61,"1,77,581,53","1,30,205.95"
,2 Power,"10,705.17","7,254.18","11,701.16",41.572.12,"45,590 76"
,,"66,702.47","82,696.27","60,350.77","2,19,153.65","1,75,796.71"
,Add; Un-aUocabfe Corporate Revenue,,,,,
,Total Revenue,"66,702.47","52,696.27","60,350.77","2,19,153.65","1,76,796.71"
,Less: Inter Segment Revenue,"3,196.34","2,089.97","5,960.36","12,156.96","17,561.06"
,Net Sales/tocome From Operations,"63,506.13","50,606.30","54,390.41","2,06,996.69","1,58,235.66"
2,Segment Results (Operating Results):,,,,,
,1 Mining,"10,970.78","13,570.04","8,878.67","44,522.62","28,116.04"
,2 Power,"6,132.10","(1,101.57)",591.57,"9,703.88","7,994.31"
,Total Segment Operating Results,"17,102.88","12,468.48","8,570.24","54,226.48","36,110.35"
,Un-aDocaMe Corporate Results,"(3,355.13)","(2,876.95)",895.74,"(10,069.25)","(5,063.07)"
,Total Results,"13,747.75","9,591.52","10,465.98","44,157.23","31,047.28"
,Add : Interest and Dividend Income,"3,063.34","2,270.56","2,665.25","10,825.27","13,647.38"
,Add : Un-aBocabte income net of un-aHocable expense*,447.60,63.72,121.46,710.06,-
,Net Profit Before Tax and Exceptional Items,"17,288.88","11,925.80","13,252.69","55,692.56","44,664.66"
3,Segment Assets:,,,,,
,1 Mining,"1,20,527.46","1,19,240.38","98,598.09","1,20,527.46","98,598.09"
,2 Power,"1,63,524.28","2,86,467.94","1,70.418.28","1,63,524.28","1,70,418.28"
,3 Unallocated,"2,63,176.01","5,41,771.06","2,39,141.68","2,63,176.01","2,39,141.68"
,,"5,47,227.75","9,47,479.37","5,08,158.05","5,47,227.75","5,08,158.05"
4,Segment Liabilities:,,,,,
,1 Mining,"61,539.93","73,641.85","61,212.21","61,539.93","61,212.21"
,2 Power,"6,484.69","1,33,093.45","6,160.82","6,484.69","6,160.82"
,3 Unallocated,"39,055 54","3,05,678.12","43,925.35","39,055.54","43,925.35"
,,"1,07,080.16","6.12,413.42","1,11,298.39","1,07.080.16","1,11,296.39"
