0,1,2,3,4,5,6,7
1.,"Singhi & Co.,",2.,"Chatterjee & Co.,",3.,"V.K. Dhingra & Co.,",4.,"A.K.Sabat & Co.,"
,Chartered,,Chartered,,Chartered,,Chartered
,"Accountants,",,"Accountants,",,"Accountants,",,"Accountants,"
,"161, Sarat Bose",,"153, Rash Behari",,"l-E/15,",,"A-348,"
,"Road,",,"Avenue, 3rdFloor,",,"Jhandewalan Extn.,",,"Sahid Nagar,"
,Kolkata-700026,,Kolkata-700029,,New Delhi-110055,,Bhubaneswar 751007
