0,1,2,3,4,5,6
Geo-wise Revenue (Rs crs),Q4'FY17,Q3'FY18,Q4'FY18,Mix %,YoY %,QoQ %
International,335,371,374,39%,12%,1%
"Europe, North America and Japan",227,243,250,26%,10%,3%
ROW,108,128,124,13%,15%,-3%
India,408,551,593,61%,45%,8%
Income from Operations,743,922,968,100%,30%,5%
