0,1
57,JINDAL HYDRO POWER LTD.
58,JINDAL POWER DISTRIBUTION LTD.
59,AMBITIOUS POWER TRADING COMPANY LIMITED
60,JINDAL POWER TRANSMISSION LTD.
61,KAMALA HYDRO ELECTRIC POWER CO. LTD.
62,KINETA POWER LTD.
63,UTTAM INFRALOGIX LTD.
64,PANTHER TRANSFRelGHT PVT. LTD.
65,JINDAL BVI LTD.
66,JINDAL(BARBADOS) HOLDINGS CORP
67,JINDAL(BARBADOS) MINING CORP
68,JINDAL(BARBADOS) ENERGY CORP
69,MEEPONG RESOURCES (MAURITIUS)(PTY) LTD.
70,MEEPONG ENERGY(MAURITIUS)(PTY) LTD.
71,JINDAL ENERGY BAHAMAS
72,JINDAL TRANSAFRICA(BARBADOS) CORP
73,MEEPONG RESOURCES PTY LTD.
74,MEEPONG ENERGY PTY LTD.
75,MEEPONG SERVICES(PTY) LTD.
76,MEEPONG WATER(PTY) LTD.
77,JINDAL RESOURCES BOTSWANA PTY LTD
78,TRANS AFRICA RAIL(PTY) LTD.
79,JINDAL ENERGY (BOTSWANA) PTY LTD.
80,OSHO MADAGASCAR SARL
81,JINDAL MADAGASCAR SARL
82,JINDAL TANZANIA LTD
83,JINDAL MINING NAMIBIA(PTY) LTD.
84,JINDAL MAURITANIA SARL
85,Jindal Reality Private Limited (Group)
86,Raigarh Pathalgaon Expressway Limited
87,Enviro Waste Gas Services Pty Ltd.
88,Jagran Developers Limited
Joint Ventures,
1,JINDAL SYNFUEL LIMITED
2,URTAN NORTH MINING COMPANY LIMITED
3,SHRESTHA MINING & METALS PVT. LTD.
Associates,
1,PRODISYNE(PTY) LTD
2,THUTHUKANI COAL(PTY) LTD
