0,1,2,3,4
Geo-wise Revenue (Rs crs),FY17,FY18,Mix %,YoY %
International,178,173,98%,-3%
North America,131,129,73%,-2%
Europe and Japan,44,38,21%,-14%
ROW,3,7,4%,112%
India,4,3,2%,-7%
Income from Operations,182,176,100%,-3%
