0,1
Sr. No,Name of the Entities:
35,Tata Coffee Vietnam Company Ltd.
36,Consolidated Coffee Inc.
37,Eiqht O'clock Holdings Inc.
38,Eiqht O'clock Coffee Inc.
39,Tata Tea Extractions Inc.
40,Tata Tea Holdinqs Private Ltd.
41,"Zheiianq Tata Tea Extraction Company Ltd.* (upto July 28, 2017)"
42,"Coffee Trade LLC * (w.e.f. September 18, 2017)"
,Joint Ventures:-
1,NourishCo Beveraqes Ltd.
2,Tata Starbucks Private Ltd.
3,Southern Tea LLC
4,Tetley ACI (Banqladesh) Ltd.
5,Tetley Clover (Pvt) Ltd.
6,Joekels Tea Packers (Proprietary) Ltd.
,Associates:-
1,Amalgamated Plantations Pvt. Ltd.
2,Kanan Devan Hills Plantation Co. Pvt. Ltd.
3,"Estate Management Services Pvt. Ltd. (sold on December 28, 2017)"
4,Tril Construction Ltd.
