0,1,2,3
Disbursements,04,04,Growth(YoY)
FY 18,FY 17,,
Vehicle Finance,"6,820","4,407",54.8%
Home Equity,806,544,48.1%
Others,381,262,45.6%
Total,"8,007","5,213",53.6%
