0,1,2,3
Subsidiaries,Subsidiaries,Subsidiaries,Country ofIncorporation
Wipro LLC,"Wipro Gallagher Solutions, Inc.",Opus Capital Markets ConsultantsLLCWipro Promax Analytics SolutionsLLC,USAUSAUSAUSA
,"Infocrossing, Inc.Wipro Insurance Solutions",,USAUSA
,LLC,,USA
,"Wipro Data Centre and CloudServices, Inc.",,USA
,"Wipro IT Services, Inc,","HPH Holdings Corp.<A)Appirio, Inc.<A)Cooper Software, Inc.",USAUSAUSA
Wipro Overseas IT ServicesPvt. Ltd,,,India
Wipro Japan KK,,,Japan
Wipro Shanghai Limited,,,China
Wipro Trademarks HoldingLimited,,,India
Wipro Travel Services Limited,,,India
Wipro Holdings UK Limited,Wipro InformationTechnologyAustria GmbH,,U.K.Austria
,Wipro Digital ApsWipro Europe Limited,Wipro Technologies Austria GmbHDesignit A/S<A)Wipro UK Limited,AustriaDenmarkDenmarkUK.U.K.
