0,1,2,3,4,5,6
,FY17,IndiaFY18,Y/Y,FY17,ConsolidatedFY18,Y/Y
Sales*,"4,771","5,256",10%,"9,341","9,862",6%
Gross Profit,"2,626","2,984",14%,"5,110","5,494",8%
Gross Margin % *,55.0%,56.8%,170bps,54.7%,55.7%,100bps
EBITDA,"1,073","1,303",21%,"1,913","2,096",10%
EBITDA Margin %*,22.5%,24.8%,230bps,20.5%,21.3%,80bps
Net Profit,848,"1,000",18%,"1,304","1,634",25%
Net Profit Margin %*,17.8%,19.0%,120bps,14.0%,16.6%,260bps
EPS (?),12.44,14.68,18%,19.14,23.99,25%
