0,1
BSE Ltd.,National Stock Exchange of India Ltd.
Phiroze Jeejeebhoy Towers,"Exchange Plaza, Bandra Kurla Complex,"
Dalai Street,Bandra (E)
Mumbai- 400 001,Mumbai- 400 051
Scrip Code: 532548,Scrip Name- Century ply
