0,1,2,3,4,5,6
Series Id,Issue Size(Rs in Crs),Allotment Date,Maturity Date,Due Date,ISIN No,Due Category
TTT,5,7-Dec-11,7-Dec-21,7-Dec-17,INE774D08KW4,Interest
UUU,100,12-Dec-11,12-Dec-21,12-Dec-17,INE774D08KX2,Interest
AY2016,25,16-Jun-16,14-Dec-17,14-Dec-17,INE774D07OW8,Principal + Interest
BB2014,175,15-Dec-14,13-Dec-24,15-Dec-17,INE774D07KT2,Interest
AA2013,7,3-Jan-13,20-D8C-17,20-Dec-17,INE774D07IU4,Principal + Interest
AZ2016,100,20-Jun-16,20-Dec-17,20-Dec-17,INE774D07OX6,Principal + Interest
BG2017,150,14-Aug-17,22-Dec-20,22-Dec-17,INE774D07RO8,Interest
B12015,11.4,4-Jun-15,2-Jan-18,2-Jan-18,INE774D07MD2,Principal + Interest
AA2017,25,6-Jan-17,4-Jan-19,8-Jan-18,INE774D07QI2,Interest
AC2017,50,10-Jan-17,10-Jan-19,10-Jan-18,INE774D07QK8,Interest
AD2017,35,11-Jan-17,11-Jan-19,11-Jan-18,INE774D07QL6,Interest
AE2013,25,15-Jan-13,15-Jan-18,15-Jan-18,INE774D07IY6,Principal + Interest
AA2014,10,15-Jan-14,15-Jan-19,15-Jan-18,INE774D07JS6,Interest
AB2014,55,16-Jan-14,16-Jan-19,16-Jan-18,INE774D07JT4,Interest
ZZZ,40,17-Jan-13,17-Jan-23,17-Jan-18,INE774D08LC4,Interest
AE2017,100,17-Jan-17,16-Feb-18,17-Jan-18,INE774D07QM4,Interest
AC2014,5,17-Jan-14,17-Jan-19,17-Jan-18,INE774D07JU2,Interest
AF2017,25,19-Jan-17,18-Jan-19,19-Jan-18,INE774D07QN2,Interest
AG2017,25,23-Jan-17,23-Jan-19,23-Jan-18,INE774D07QO0,Interest
AB2015,250,23-Jan-15,23-Jan-25,23-Jan-18,INE774D07KW6,Interest
AH2017,50,27-Jan-17,29-Jun-18,29-Jan-18,INE774D07QP7,Interest
AI2017,50,30-Jan-17,29-Jun-18,30-Jan-18,INE774D07QQ5,Interest
AK2017,25,1-Feb-17,31-Jan-20,1-Feb-18,INE774D07QS1,Interest
AAA2015,100,2-Feb-15,31-Jan-25,2-Feb-18,INE774D08LK7,Interest
AL2017,400,3-Feb-17,21-Dec-20,5-Feb-18,INE774D07QT9,Interest
AG2013,5,7-Feb-13,7-Feb-18,7-Feb-18,INE774D07JA4,Principal + Interest
AM2017,25,7-Feb-17,9-Mar-20,7-Feb-18,INE774D07QU7,Interest
AN2017,80,10-Feb-17,27-Mar-20,12-Feb-18,INE774D07QV5,Interest
AC2016,100,15-Feb-16,15-Mav-19,15-Feb-18,INE774D07OA4,Interest
AE2017,100,17-Jan-17,16-Feb-18,16-Feb-18,INE774D07QM4,Principal + Interest
AO2017,25,17-Feb-17,15-Feb-19,20-Feb-18,INE774D07QW3,Interest
AP2017,25,20-Feb-17,20-Feb-19,20-Feb-18,INE774D07QX1,Interest
AR2017,15,23-Feb-17,21-Aug-20,23-Feb-18,INE774D07QZ6,Interest
AH2013,10,27-Feb-13,27-Feb-18,27-Feb-18,INE774D07JB2,Principal + Interest
AS2017,50,27-Feb-17,14-Mar-19,27-Feb-18,INE774D07RA7,Interest
1A,1.95,06-Jun-16,06-Dec-21,06-Mar-18,INE774D08LP6,Quarterly Interest
IB,7.09,06-Jun-16,06-Dec-21,06-Mar-18,INE774D08LQ4,Quarterly Interest
2A,5.24,06-Jun-16,06-Jun-23,06-Mar-18,INE774D08LR2,Quarterly Interest
2B,1.30,06-Jun-16,06-Jun-23,06-Mar-18,INE774D08LS0,Quarterly Interest
