0,1,2
^1,PT Balmcr Lawric Indonesia i,
Summarised balance slieet,31 March 201S,31 March 2017 I
Cash & Kush Kquivrilenrs J 212.-15,12.15,
( j.n.Tt'iir assets excluding (. dish & cash equivalents,"2,174.85","1,325.13"
"Current l‘,inancin! liabilities (t-xchiding Trade payables)","933,7 U",458.08
Other Current liabilities,"1,205.31","1,472,43"
sNct current assets,247.29,(592.22)
,,
Nnn-CLiiTenr assets,"3,261.981 1,308.90",
j|Non-CLirrent Iniv.mciui liabilities ( excluding Trade payables),"■ 1,878.70 1 1,591.85",
Ollier Nna-airrcnr 1 iabitities,-,
Net non-current assets,(616.72)1 (282.95),
Net assets,(369.43)| (875.17),
