0,1
Sr. No,Name of the Entities:
,Parent:
,Tata Global Beverages Limited
,Subsidiaries:-
1,Tata Global Beveraqes Group Ltd.
2,Tata Global Beveraqes Holdinqs Ltd.
3,Tata Global Beveraqes Services Ltd.
4,Tata Global Beveraqes GB Ltd.
5,Tata Global Beveraqes Overseas Holdinqs Ltd.
6,Tata Global Beveraqes Overseas Ltd.
7,Lyons Tetley Ltd.
8,Drassinqton Ltd.
9,Teapiqs Ltd.
10,Teapiqs US LLC
11,Stansand Ltd.
12,Stansand (Brokers) Ltd.
13,Stansand (Africa) Ltd.
14,Stansand (Central Africa) Ltd.
15,Tata Global Beveraqes Polska sp.zo.o
16,Tata Global Beveraqes Czech Republic a.s.
17,Tata Global Beveraqes US Holdinqs Inc.
18,Tetley USA Inc.
19,Empirical Group LLC
20,Tata Water LLC
21,Good Earth Corporation.
22,Good Earth Teas Inc.
23,Tata Global Beveraqes Canada Inc.
24,Tata Global Beveraqes Australia Pty Ltd.
25,Earth Rules Pty Ltd.
26,Tata Global Beveraqes Investments Ltd.
27,Campestres Holdinqs Ltd.
28,Kahutara Holdings Ltd.
29,Suntyco Holding Ltd.
30,Onomento Co Ltd.
31,"OOO Tea Trade LLC* (upto November 3, 2017)"
32,"OOO Sunty LLC* (upto November 3, 2017)"
33,Tata Global Beveraqes Capital Ltd
34,1 Tata Coffee Ltd.
