0,1,2,3,4,5,6,7,8
Sr.,NCD Series,ISIN No.,Previous due date,Interest,Principal,,,
No.,,,"(October I, 2017 to March","(April 1,2018 to","(April 1,2018 to",,,
,,,"31,2018)","September 30, 2018)","September 30,2018)",,,
,,,Interest,Principal,Next duedate,Amount(Rs. incrore),Next duedate,Amount(Rs. incrore)
30,227 (H-031),1NE00IA07GO5,-,-,13-Apr-18,17.39,-,-
31,1-001,INEOOI A07GP2,-,-,03-May-18,94.00,-,-
32,1-007,INE00IA07GV0,-,-,I0-Jun-18,39.60,-,-
33,1-012,INE001A07HA2,-,-,20-Jul-18,42.98,-,-
34,1-016,INE001A07HE4,-,-,17-Aug-18,18.90,-,-
35,1-019,INE001A07HH7,-,-,23-Sep-18,24.00,-,-
36,1-021,INE001A07HJ3,11-Nov-17,-,-,-,-,-
37,J-002,ITME001A07II3,-,-,09-May-18,19.00,-,-
38,J-008,INE001A071O1,-,-,04-Jul-18,19.00,-,-
39,J-033,INE001A07JN1,04-Oct-17,04-Oct-17,-,-,-,-
40,J-036,INE001A07JQ4,08-Oct-17,08-Oct-17,-,-,-,-
41,J-041,INE001A07JV4,-,23-Oct-I7,-,-,-,-
42,K-002,INE001A07JZ5,04-Feb-18,04-Fcb-18,-,-,-,-
43,K-004,INE001A07KB4,12-Feb-18,12-Fcb-18,-,-,-,-
44,K-009,INEOOIA07KI9,26-Feb-18,26-Feb-18,-,-,-,-
45,K-018,INE001A07KO7,11-Mar-18,11-Mar-18,-,-,-,-
46,K-022,INEOOI A07KS8,19-Mar-18,19-Mar-18,-,-,-,-
47,K-024,INEOOI A07KU4,21-Mar-18,-,-,-,-,-
48,K-030,INEOOI A07LA4,-,-,10-Apr-18,31.68,10-Apr-18,350.00
49,K-039,INEOOI A07LJ5,-,,08-May-18,58.77,08-May-18,685.00
50,K-041,INEOOI A07LL1,-,-,15-May-18,37.40,15-May-18,440.00
51,K.-043,INEOOI A07LN7,-,-,20-May-18,42.01,20-May-18,500.00
52,L-015,INEOOI A07MG9,17-Jan-18,-,-,-,-,-
53,L-016,INEOOI A07MH7,20-Jan-18,-,-,-,-,-
54,M-009,INEOOI A07MS4,-,-,25-Jun-18,46.87,-,-
55,M-014,INEOOI A07MX4,-,-,13-Aug-18,45.00,-,-
56,M-0I5,INEOOI A07MY2,-,-,21-Aug-18,186.17,-,-
57,M-016,INEOOI A07MZ9,-,-,27-Aug-18,64.21,-,-
58,M-018,INEOOI A07NB8,-,-,28-Aug-18,93.40,-,-
59,N-001,INEOOI A07NG7,06-Jan-18,-,-,-,-,-
60,N-002,INEOOI A07NH5,13-Jan-18,-,-,-,-,-
61,N-004,INEOOI A07NJI,23-Jan-18,-,-,-,-,-
62,N-005,INE001A07NK9,02-Feb-18,02-Feb-18,-,-,-,-
63,N-008,INEOOI A07NN3,25-Feb-18,-,-,-,-,-
64,N-009,INEOOI A07NO1,26-Feb-18,,26-Apr-18,9.49,26-Apr-18,675.00
65,N-010,INEOOI A07NP8,04-Mar-18,-,-,-,-,-
66,N-011,INEOOI A07NQ6,11-Mar-18,-,11-Sep-18,21.31,11-Sep-18,500.00
67,N-012,INEOOI A07NR4,-,-,Ѥ ^oo oo,42.256.83,11-Jun-18,500.00
-68,N-013,INEOOI A07NS2,-,-,09-Apr-18,113.65,09-Apr-18,417.10
",?9\",N-015,INEOOI A07NU8,-,-,27-Apr-18,106.21,-,-
70 |,N-017,INEOOI A07NW4,-,-,18-May-18,126.15,-,-
