0,1,2,3,4,5,6
,Quarter Bided,Year Ended,,,,
Particulars,Mar-18,Mar-17,Y-on-YGrowth,Mar-18,Mar-17,Y-on-YGrowth
Total revenues,"1,004",939,7%,"4,009","3,728",8%
EBITDA,(668),"(2,371)",72%,"(4,279)","(3,843)",-11%
EBIT,(686),"(1,992)",66%,"(4,354)","(3,912)",-11%
Capex,"2,433",85,2757%,"6,523","1,656",294%
Operating Free Cash Flow (EBITDA - Capex),"(3,101)","(2,456)",-26%,"(10,802)","(5,499)",-96%
Cumulative Investments,"12,944","7,135",81%,"12,944","7,135",81%
