0,1,2,3,4
Sr.No.,Name of the Company,Country ofincorporation,"% holdingMarch 31,2018",Financial yearends on
1.,Talbahn GmbH (not consolidatedbased on materiality),Germany,35%*,"December 31,2017"
2.,Ferrovia Transrail Solutions PrivateLimited,India,49%*,"March 31, 2018"
3.,Hospet Bellary Highways PrivateLimited,India,35%*,"March 31,2018"
4.,Tork Motors Private Limited(notaudited),India,30.37%,"March 31, 2018"
