0,1,2,3,4
Sr. No.,Particulars,FY18(In Rs. Cr.),FY17(In Rs. Cr.),% Increase /(Decrease)
1,Total Income,"5,863","5,969",(2%)
2,Profit before tax,"1,338",984,36%
3,Net Profit,920,715,29%
