0,1,2,3
Statute the Dues,2017-18,2016-17,relates
,,,
Central Excise Act Excise Duty,"1,308.11","1,260.90",July'97
,16.31,16.31,Feb/2004
,47.00,47.00,04/10/2002
,38.17,15.63,22-11-2011
,0.37,0.37,05/05/2011
,1.78,0.69,"11.02,2013"
,16.65,15.74,08/04/2017
,4.87,4.87,"March, 2011"
,9.19,"2,46",March'2010
,-,15.61,"March, 2002"
,29.64,25.95,2011-12
,"218,03",218.03,.18-09-2002
,99.29,99.29,.02-05-2003
,9.07,9.07,08-05-2006
,1.42,1.42,.06-07-1995
,12.18,12.18,17-07-1995
,9.97,9.97,27-04-1995
,1.62,1.62,03/06/2011
,1.09,1.09,08-09-1995
SUB TOTAL,"I 1,824.76","1,758.19 |",
Cess,115.09,110.16,Asstt Yr 1999/00
,96.49,91.32,Asstt Yr 2000/01
SUB TOTAL,1 211.58,201.48 |,
