0,1,2,3
Adani Power Dahej Ltd,,Adani Renewable Energy Park Ltd,
Kutchh Power Generation Ltd,,Adani Renewable Energy Park (Gujarat) Ltd,
Adani Pench Power Ltd,,Prayatna Developers Private Ltd,
Natural Growers Private Ltd,,Parampujya Solar Energy Private Ltd,
Adani Welspun Exploration Ltd,,Rosepetal Solar Energy Private Ltd,
Adani Chendipada Mining Pvt Ltd,,Adani Wind Energy (Gujarat) Pvt Ltd,
Adani Resources Pvt Ltd,,Kilaj Solar (Maharashtra) Private Ltd,
Parsa Kente Collieries Ltd,,Adani Green Technology Ltd,
Rajasthan Collieries Ltd,,Wardha Solar (Maharashtra) Private Ltd,
Chendipada Collieries Pvt Ltd,,Gaya Solar (Bihar) Private Ltd,
Mahaguj Power LLP,,Mahoba Solar (UP) Private Ltd,
Surguja Power Pvt Ltd,,Mundra Solar Technopark Pvt Ltd,
Jhar Mining Infra Pvt Ltd,,Adani Defence Systems And Technologies Ltd,
Adani Shipping (India) Pvt Ltd,,Adani Land Defence Systems And Technologies Ltd,
Adani Shipping Pte Ltd,,Adani Aerospace and Defence Ltd,
Rahi Shipping Pte Ltd,,Adani Naval Defence Systems And Technologies Ltd,
Vanshi Shipping Pte Ltd,,Adani Infrastructure Pvt Ltd,
Aanya Maritime Inc,,,Adani Cementation Ltd
Aashna Maritime Inc,,,kwEL Global Ltd
Urja Maritime Inc,,,kdani North America Inc.
Adani Mining Pty Ltd,fk/Vf,\,'fâ€™alabira (Odisha) Mining Pvt Ltd
Adani Minerals Pty Ltd,oiAHMEDABADh,1,4dani Agri Logistics (Nakodar) Ltd
