0,1
Name of the Subsidiary Company,Ownership Interest in %
Sea Lord Containers Limited,92.46%
Konkan Storage Systems (Kochi) Private Limited,100.00%
Eastern India LPG Co. (Private) Limited,100.00%
Aegis Group International Pte Limited,60.00%
Aegis Gas LPG Private Limited,100.00%
Hindustan Aegis LPG Limited,80.30%
Aegis International Marine Services Pte. Limited,100.00%
Aegis LPG Logistics (PIPAVAV) Limited,100.00%
Aegis Terminal (PIPAVAV) Limited,100.00%
