0,1,2,3
Sr.No.,8nb DirectionsIssued/Questlons u/s 143(5),AetiqnTafc^_„_i __,Impacton
Manufacturing Sector,,,
Mining w ■ .,,,
1,Whether the company hastaken adequate measures toreduce the advene affect onenvironment as perestablished-norms and takenup adequate measures for therelief and rehabilitation ofdisplaced people.,"According tortile information andexplanation given to us, the Company isobtaining environmental pollution,monitoring report periodically fromoutside agency for eacfr project toreduce/monitot the adverse effect onenvironment.No Displacement/Rehabilitation hasbeen taken at any project of thecorporation for the year 2017-18. (Pleasenote that we are not technical expert)",No impact
2,Whether the Company hadobtained the requisitestatutory compliances thatwas required under miningadd environmental rules andregulations?,"As per information and explanation givento us, the Company has obtainednecessary consents from GPCB for>.mining projects.'i",No impact.
3,Whether overburden removalfrom mines and backfilling ofmines are commensuratewith the mining activity?,"As informed to us, in respect of ligniteprojects overburden removal from minesand backfilling of mines curecommensurate with the mining activityas per submitted/ approved/ preparedmine closure plan.(Please note that we are not technicalexpert)",No Impact
4,"Whether the Company hasdisbanded and discontinuedmines, If so, the payment ofcorresponding dead rent thereagainst may be verified.","As informed to us, the Company has notdisbanded nor discontinued any of itsmines./ -8• ^.",NotApplicable
5,Whether the Company'sfinancial statements hadproperly accounted for theeffect of RehabilitationActivity and Mine ClosurePlan?,"The expenditure on RehabilitationActivity and for Mine Closure is propertyaccounted in the books of account of theCompany, as per the policy adopted onthis behalf.",No impact
Power Sector,,,
Generation,,,
1,"Ha the cases of ThermalPower Projects, complianceof the various PollutionControl Acts and the Impactthereof Inclnding utilizationand disposal of ash and thepolicy of the company In thisregard, may be checked andcommented upon.","As per information and explanationprovided to us, the Company has madecompliance of Various pollution controlAct.■' '•■ vIn respect of utilization and disposal dfash, generally the Company is using it inbackfilling of mine in Pariandhro project.",No impactifF$ulo\ oohS_;_SS*.—fcj
