0,1,2
Name of the entity,"As at March 31, 2018",
% holding,Consolidated as,
Cummins Sales & Service Private Limited,100%,Subsidiary
Cummins Generator Technologies India Private Limited,48.54%,Associate
Valvoline Cummins Private Limited,50%,Joint Venture
Cummins Research and Technology India Private Limited,50%,Joint Venture
