0,1
Entity,Relationship
Britannia Dairy Private Limited,Subsidiary
Daily Bread Gourmet Foods (India) Private Limited,Subsidiary
J.B. Mangharam Foods Private Limited,Subsidiary
International Bakery Products Limited,Subsidiary
Sunrise Biscuit Company Private Limited,Subsidiary
Ganges Vally Foods Private Limited,Subsidiary
Manna Foods Private Limited,Subsidiary
Boribunder Finance and Investments Private Limited,Subsidiary
Flora Investments Company Private Limited,Subsidiary
Gilt Edge Finance and Investments Private Limited,Subsidiary
Britannia and Associates (Dubai) Private Co. Limited (Dubai),Subsidiary
Strategic Food International Co. LLC (Dubai),Subsidiary
Strategic Brands Holding Company (Dubai),Subsidiary
A1 Sal Ian Food Industries Co. SAOC (Oman),Subsidiary
Britannia Dairy Holdings Private Limited (Mauritius),Subsidiary
Britannia and Associates (Mauritius) Private Limited (Mauritius),Subsidiary
BritChip Foods Limited,Subsidiary
Britannia Nepal Private Limited,Subsidiary
Britannia Employees General Welfare Association Private Limited,Company Limited by Guarantee
Britannia Employees Educational Welfare Association Private Limited,Company Limited by Guarantee
Britannia Employees Medical Welfare Association Private Limited,Company Limited by Guarantee
Klassik Foods Private Limited,Associate
Nalanda Biscuits Company Limited,Associate
Sunandaram Foods Private Limited,Associate
