0,1,2,3,4,5,6,7,8
,,Standalone,Consolidated,,,,,
,PARTICULARS,QuarterEnded31.03.2018(Unaudited),QuarterEnded31.12.2017(Unaudited),QuarterEnded31.03.2017(Unaudited),YearEnded31.03.2018(Audited),YearEnded31.03.2017(Audited),YearEnded31.03.2018(Audited),YearEnded31.03.2017(Audited)
1.,Segment Revenue(net sales/income from each segment),,,,,,,
(a),Retail / Textile,51.62,83.76,37.05,257.89,298.28,257.89,298.28
(b),Polyester,300.36,315.09,314.74,"1,251.95","1,214.45","1,251.95","1,214.45"
(c),Real Estate,405.78,221.08,199.66,"1,182.91",515.28,"1,182.91",515.28
,Net Sales/income from Operations,757.76,619.93,551.45,"2,692.75","2,028.01","2,692.75","2,028.01"
