0,1,2,3,4,5,6,7
,StandaloneQuarter ended(T in crores),StandaloneYear endedin crores),ConsolidatedYear endedin crores),,,,
,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017
Revenue fromoperations (gross),"76,066.96","70,195.16","66,023.22","2,77,162.23","2,42,047.82","2,79,312.70","2,43,747.46"
Less: Excise Duty,NA,NA,(246.33),(516.08),"(1,429.46)",(523.82),"(1,463.91)"
Net comparablerevenue,"76,066.96","70,195.16","65,776.89","2,76,646.15","2,40,618.36","2,78,788.88","2,42,283.55"
