0,1
Cross carrying amountBalance as at 1 April 2017AdditionsDisposals/adj ustments,97.79(31.65)
Balance as at 31 March 2017,66.14
Net investment Property - Reclassified,52.27
Balance as at 31 March 2018,118.41
Accumulated Depreciation,
At 1 April 2016,-
Depreciation charge for the year,"2,54"
Disposals/adjustments for the year,1.72
Balance as at 31 March 2017,4.26
Depreciation charge for the year,1.45
Investment Property - reclassified,(0.84)
Balance as at 31 March 2018,4.87
,
Net book value as at 31 March 2017,61.88
Net book value as at 31 March 2018,113.54
