0,1,2,3
"13,724.65","13,166.76",,
"25,364.29","26,942.43","25,558.76","26,665.70"
"2,031.01","1,096.83","2,158.71","1,099.31"
"3,764.56","3,455.63","3,483.25","3,659.94"
"1,291.33",5.47,"1,302.93",5.47
"3,233.35","3,434.27","3,262.30","3,524.92"
"1,77,684.94","1,66,718.70","1,89,997.84","1,77,243.66"
"65,313.21","62,240.87","70,567.90","65,724.06"
"8,399.32","7,195.41","8,198.78","7,469.41"
"10,116.52","8,502.37","10,696.48","8,899.19"
53.65,52.86,318.90,329.50
27.71,33.64,175.38,80.25
467.51,"1,747.93",672.08,"1,765.09"
"15,288.16","9,639.38","11,284.11","8,490.41"
2.04,-,0.91,-
"3,225.17","3,022.76","3,598.23","3,500.12"
161.68,59.35,161.68,59.35
"1,03,054.97","92,494.57","1,05,674.45","96,317.38"
"2,80,739.91","2,59,213.27","2,95,672.29","2,73,561.04"
