0,1,2,3
Sr.no.,Name of entity,Country,Relationship
1,Welcast Steels Limited,India,Subsidiary
2,Vega Industries (Middle East) F.Z.C.,U.A.E.,Wholly owned subsidiary
3,AIA CSR Foundation,India,Wholly owned subsidiary
4,Vega Industries Limited,U.K.,Step down subsidiary
5,Vega Industries Limited,U.S.A.,Step down subsidiary
6,Vega Steel Industries (RSA) PTY Limited,South Africa,Step down subsidiary
7,Wuxi Vega Trade Co. Limited,China,Step down subsidiary
8,PT. Vega Industries Indonesia,Indonesia,Step down subsidiary
9,Vega Industries Chile SPA,Chile,Step down subsidiary
10,AIA Ghana Limited,Ghana,Step down subsidiary
