0,1,2,3,4,5,6
Series Id,Issue Size(Rs in Crs),Allotment Date,Maturity Date,Due Date,ISIN No,Due Category
IA,50,24-Jul-17,24-JUI-24,01-Apr-18,INE774D08MH1,Annual Interest
IB,9.32,24-Jul-17,24-Jul-24,01-Apr-18,INE774D08MI9,Annual Interest
IIA,0.22,24-Jul-17,24-JUI-27,01-Apr-18,INE774D08MJ7,Annual Interest
IIB,447.02,24-Jul-17,24-JUI-27,01-Apr-18,INE774D08MK5,Annual Interest
II1A,1.12,24-JUI-17,24-Jul-32,01-Apr-18,INE774D08ML3,Annual Interest
IIIB,642.85,24-JUI-17,24-Jul-32,01-Apr-18,INE774D08MM1,Annual Interest
AP2016,175,30-Mar-16,30-Apr-19,3-Aor-18,INE774D07ON7,Interest
AO2016,271,29-Mar-16,29-Mar-21,3-Apr-18,INE774D07OM9,Interest
AR2016,100,4-Apr-16,4-Sep-19,4-Apr-18,INE774D07OP2,Interest
AL2015,45,8-Apr-15,5-Apr-18,5-Apr-18,INE774D07LG7,Principal + Interest
AN2015,78,9-Apr-15,5-Apr-18,5-Apr-18,INE774D07LI3,Principal + Interest
AO2015,50,10-Apr-15,5-Apr-18,5-Apr-18,INE774D07LJ1,Principal + Interest
AT2016,54,5-Apr-16,5-Apr-19,5-Apr-18,INE774D07OR8,Interest
AC2013,18.5,11-Jan-13,10-Apr-18,10-Apr-18,INE774D07IV2,Principal + Interest
AK2015,41.2,31-Mar-15,10-Apr-18,10-Apr-18,INE774D07LF9,Principal + Interest
AQ2015,78.6,15-Apr-15,10-Apr-18,10-Apr-18,INE774D07LL7,Principal + Interest
AD2015,32.6,24-Feb-15,12-Apr-18,12-Apr-18,INE774D07KY2,Principal + Interest
AW2016,20,12-Apr-16,12-Apr-19,12-Apr-18,INE774D07OU2,Interest
AI2015,45.3,17-Mar-15,16-Apr-18,16-Apr-18,INE774D07LD4,Principal + Interest
AR2015,20,16-Apr-15,19-Apr-18,19-Apr-18,INE774D07LM5,Principal + Interest
AS2015,22.3,17-Apr-15,19-Apr-18,19-Apr-18,INE774D07LN3,Principal + Interest
AM2013,165,22-Apr-13,20-Apr-18,20-Apr-18,INE774D07JG1,Principal + Interest
AT2015,500,22-Apr-15,22-Apr-25,23-Apr-18,INE774D07LO1,Interest
AAA2013,20,23-Apr-13,23-Apr-20,23-Apr-18,INE774D08LEO,Interest
BBB2013,80,23-Apr-13,24-Apr-23,23-Apr-18,INE774D08LD2,Interest
AO2013,15,25-Apr-13,25-Apr-18,25-Apr-18,INE774D07JK3,Principal + Interest
AP2015,16,13-Apr-15,2-Mav-18,2-May-18,INE774D07LK9,Principal + Interest
CO2015,4,10-Aug-15,2-Mav-18,2-May-18,INE774D07NJ7,Principal + Interest
AM2015,25.9,8-Apr-15,7-Mav-18,7-Mav-18,INE774D07LH5,Principal + Interest
BG2015,20,3-Jun-15,22-May-18,22-May-18,INE774D07MB6,Principal + Interest
AX2017,150,7-Apr-17,22-Mav-19,22-May-18,INE774D07RF6,Interest
CCC2013,52.2,24-May-13,25-May-20,24-May-18,INE774D08LG5,Interest
DDD2013,47.8,24-Mav-13,24-Mav-23,24-May-18,INE774D08LF7,Interest
BA2014,100,4-Dec-14,4-Dec-19,4-Jun-18,INE774D07KS4,Put Option
1A,1.95,06-Jun-16,06-Dec-21,06-Jun-18,INE774D08LP6,Quarterly Interest
IB,7.09,06-Jun-16,06-Dec-21,06-Jun-18,INE774D08LQ4,Quarterly Interest
2A,5.24,06-Jun-16,06-Jun-23,06-Jun-18,INE774D08LR2,Quarterly Interest
