0,1,2,3,4
Particulars,Quarter Bided,Year Bided,,
Mar-18,Mar-17,Mar-18,Mar-17,
Depreciation,318,295,"1,228","3,559"
Amortization,21,13,48,697
Depreciation & Amortization,339,308,"1,276","4,256"
