0,1,2,3,4
JLR£ m (IFRS),Q4 FY’ 18,Vs PY,FY'18,Vs PY
Net Revenue,"7,555",4.o%r,"25,786",6%
PBT,364,(46%),1536,-5%
U EBIT (%),6.7,(200 bps),4.2,(170 bps)
