0,1
Particulars,As At
31-Mar-18,
Assets classified as held for sale,
Cash and cash eguivalent,0.77
Investment in joint venture,16.21
Total Assets of disposal qroup held for sale,16.98
Liabilities directly associated with assets classified as held for sale,
Other Current liability,0.13
Total liabilities of disposal qroup held for sale,0.13
