0,1
Sr. No.,Name of the Entities:
14,Indiran Engineering Projects and Systems Kish PJSC
15,L&T Infrastructure Development Projects Limited
16,Larsen & Toubro Electromech LLC@@
17,L&T Hydrocarbon Caspian LLC
,
,Associates:-
1,L&T-Chiyoda Limited
2,Gujarat Leather Industries Limited $
3,Larsen & Toubro Qatar & HBK Contracting LLC
4,L&T Camp Facilities LLC
5,Feedback Infra Private Limited SS
6,Magtorq Private Limited
7,Grameen Capital India Limited
,
,Joint Operations :-
1,Desbuild L&T Joint Venture
2,Larsen and Toubro Limited-Shapoorji Pallonji & Co. Ltd. Joint Venture
3,A1 Balagh Trading & Contracting Co W.L.L- L&T Joint Venture
4,L&T - AM Tapovan Joint Venture
5,HCC - L&T Purulia Joint Venture
6,International Metro Civil Contractors Joint Venture
7,Metro Tunneling Group
8,L&T - Hochtief Seabird Joint Venture
9,Metro Tunneling Chennai-L&T Shanghai Urban Construction (Group)Corporation Joint Venture
10,Metro Tunneling Delhi-L&T Shanghai Urban Construction (Group) CorporationJoint Venture
11,L&T-Shanghai Urban Construction (Group) Corporation Joint Venture CC27Delhi
12,Aktor- Larsen & Toubro-Yapi Merkezi-STFA-Al Jaber Engineering Joint Venture
13,Civil Works Joint Venture
14,L&T-Shanghai Urban Construction (Group) Corporation Joint Venture
15,DAEWOO and L&T Joint Venture
16,L&T - STEC JV Mumbai
17,L&T-Eastern Joint Venture
18,Larsen and Toubro Limited-Scomi Engineering BHD Consortium-Residual JointWorks Joint Venture
19,Larsen and Toubro Limited-Scomi Engineering BHD Consortium-O&M JointVenture
20,L&T-Delma Mafraq Joint Venture
