0,1
Name of the Entity,Relationship
Unilever India Exports Limited,Wholly owned subsidiary
Lakme Lever Private Limited,Wholly owned subsidiary
Pondâ€™s Export I .imited,Wholly owned subsidiary
Daverashola Estates Private Limited,Wholly owned subsidiary
Jamnagar Properties Private Limited,Wholly owned subsidiary
Levindra Trust Limited,Wholly owned subsidiary
Levers Associated Trust Limited,Wholly owned subsidiary
Hindlever Trust Limited,Wholly owned subsidiary
Hindustan Unilever Foundation,Wholly owned subsidiary
Bhavishya Alliance Child Nutrition Initiatives,Wholly owned subsidiary
Unilever Nepal Limited,Subsidiary
