0,1,2,3,4,5,6,7,8,9
5Qt,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18
•^^Central,85.5,85.1,82.1,79.2,76.1,73.96,72.52,71.98,70.85
■^^State,70.9,66.7,68,65.6,59.1,59.83,55.41,54.35,54.51
i^^Private,83.9,80.7,69.5,64.1,62.1,60.58,60.49,55.73,55.82
